BOARD F1,FanUp,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
,,,,,,,,,,,,,,
1,Pedestal,Top side,1003,-,-,-,-,50,88,0,1,Good,,
1,Bias Scan,Top side,1004,17027,37,"7,5",0,50,88,0,1,Good,,
1,Pedestal,Top side,1005,-,37,"7,5",-,100,116,0,1,Good,,
1,Bias Scan,Top side,1006,17028,37,"7,5",0,100,116,0,1,Good,,
1,Pedestal,Top side,1007,-,37,"7,5",-,150,127,0,1,Good,,
1,Bias Scan,Top side,1008,17029,37,"7,5",0,150,127,0,1,Good,,
1,Pedestal,Top side,1009,-,37,"7,5",-,200,131,0,1,Good,,
1,Bias Scan,Top side,1010,17030,37,"7,5",0,200,131,0,1,Good,,
1,Pedestal,Top side,1011,-,37,"7,5",-,250,135,0,1,Good,,
1,Bias Scan,Top side,1012,17031,37,"7,5",0,250,135,0,1,Good,,
1,Pedestal,Top side,1013,-,37,"7,5",-,300,138,0,1,Good,,
1,Bias Scan,Top side,1014,17032,37,"7,5",0,300,138,0,1,Good,,
1,Pedestal,Top side,1015,-,37,"7,5",-,350,?,?,?,?,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Pedestal,Top side,1051,-,37,"7,5",-,50,77,"-0,3","1,6",Good,,
1,Bias Scan,Top side,1052,17057,37,"7,5",0,50,77,"-0,3","1,6",Good,,
1,Pedestal,Top side,1053,-,37,"7,5",-,100,101,"-0,5","1,8",Good,,
1,Bias Scan,Top side,1054,17058,37,"7,5",0,100,101,"-0,5","1,8",Good,,
1,Pedestal,Top side,1055,-,37,"7,5",-,150,111,"-0,5","1,8",Good,,
1,Bias Scan,Top side,1056,17059,37,"7,5",0,150,111,"-0,5","1,8",Good,,
1,Pedestal,Top side,1057,-,37,"7,5",-,170,113,"-0,6","1,7",Good,,
1,Bias Scan,Top side,1058,17060,37,"7,5",0,170,113,"-0,6","1,7",Good,,
1,Pedestal,Top side,1059,-,37,"7,5",-,190,114,"-0,6","1,4",Good,,
1,Bias Scan,Top side,1060,17061,37,"7,5",0,190,114,"-0,6","1,4",Good,,
1,Pedestal,Top side,1061,-,37,"7,5",-,210,115,"-0,6","1,7",Good,,
1,Bias Scan,Top side,1062,17062,37,"7,5",0,210,115,"-0,6","1,7",Good,,
1,Pedestal,Top side,1063,,37,"7,5",-,210,115,"-0,6","1,7",Good,,
1,Eff/Res,Top side,1064,17063,37,"7,5",0,210,115,"-0,6","1,7",Good,,
,,,,,,,,,,,,,,
2,Pedestal,Top side,1065,-,45,"7,5",-,50,73,"-0,7","1,7",Good,,
2,Bias Scan,Top side,1066,17064,45,"7,5",0,50,73,"-0,7","1,7",Good,,
2,Pedestal,Top side,1067,-,45,"7,5",-,100,97,"-0,8","1,7",Good,,
2,Bias Scan,Top side,1068,17065,45,"7,5",0,100,97,"-0,8","1,7",Good,,
2,Pedestal,Top side,1069,-,45,"7,5",-,150,108,"-0,8","1,5",Good,,
2,Pedestal,Top side,1070,-,45,"7,5",-,150,108,"-0,8","1,5",Good,,
2,Bias Scan,Top side,1071,17066,45,"7,5",0,150,108,"-0,8","1,5",Good,,
2,Pedestal,Top side,1072,-,45,"7,5",-,170,110,"-0,8","1,7",Good,,
2,Bias Scan,Top side,1073,17067,45,"7,5",0,170,110,"-0,8","1,7",Good,,
2,Pedestal,Top side,1074,-,45,"7,5",-,190,112,"-0,8","1,6",Good,,
2,Bias Scan,Top side,1075,17068,45,"7,5",0,190,112,"-0,8","1,6",Good,,
2,Pedestal,Top side,1076,-,45,"7,5",-,210,113,"-0,8","1,6",Good,,
2,Bias Scan,Top side,1077,17069,45,"7,5",0,210,113,"-0,8","1,6",Good,,
2,Pedestal,Top side,1078,-,45,"7,5",-,210,113,"-0,8","1,6",Good,,
2,Eff/Res,Top side,1079,17070,45,"7,5",0,210,113,"-0,8","1,6",Good,,
,,,,,,,0,,,,,,,
3,Pedestal,Top side,1080,,52,"7,5",,50,71,"-0,9","1,6",Good,,
3,Bias Scan,Top side,1081,17071,52,"7,5",0,50,71,"-0,9","1,4",Good,,
3,Pedestal,Top side,1082,,52,"7,5",,100,96,"-0,9","1,5",Good,,
3,Bias Scan,Top side,1083,17072,52,"7,5",0,100,96,"-0,9","1,4",Good,,
3,Pedestal,Top side,1084,,52,"7,5",,150,106,"-0,9","1,5",Good,,
3,Bias Scan,Top side,1085,17073,52,"7,5",0,150,106,"-0,9","1,5",Good,,
3,Pedestal,Top side,1086,,52,"7,5",,170,108,"-0,9","1,5",Good,,
3,Bias Scan,Top side,1087,17074,52,"7,5",0,170,108,"-0,9","1,5",Good,,
3,Pedestal,Top side,1088,,52,"7,5",,190,110,"-0,9","1,4",Good,,
3,Bias Scan,Top side,1089,17075,52,"7,5",0,190,110,"-0,9","1,5",Good,,
3,Pedestal,Top side,1090,,52,"7,5",,210,111,"-0,9","1,4",Good,,
3,Bias Scan,Top side,1091,17076,52,"7,5",0,210,111,"-0,9","1,4",Good,,
3,Pedestal,Top side,1092,,52,"7,5",,210,111,"-0,9","1,5",Good,,
3,Eff/Res,Top side,1093,17077,52,"7,5",0,210,111,"-0,9","1,5",Good,,
,,,,,,,,,,,,,,
4,Pedestal,Top side,1094,,37,"17,5",,50,71,"-0,9","1,4",Good,,
4,Bias Scan,Top side,1095,17078,37,"17,5",0,50,71,"-0,9","1,5",Good,,
4,Pedestal,Top side,1096,,37,"17,5",,100,96,"-0,8","1,6",Good,,
4,Bias Scan,Top side,1097,17079,37,"17,5",0,100,96,"-0,9","1,7",Good,,
4,Pedestal,Top side,1098,,37,"17,5",,150,107,"-0,9","1,7",Good,,
4,Bias Scan,Top side,1099,17080,37,"17,5",0,150,107,"-0,9","1,7",Good,,
4,Pedestal,Top side,1100,,37,"17,5",,170,110,"-0,9","1,5",Good,,
4,Bias Scan,Top side,1101,17081,37,"17,5",0,170,110,"-0,8","1,5",Good,,
4,Pedestal,Top side,1102,,37,"17,5",,190,112,"-0,8","1,5",Good,,
4,Bias Scan,Top side,1103,17082,37,"17,5",0,190,112,"-0,8","1,5",Good,,
4,Pedestal,Top side,1104,,37,"17,5",,210,113,"-0,8","1,7",Good,,
4,Bias Scan,Top side,1105,17083,37,"17,5",0,210,113,"-0,8","1,7",Good,,
4,Pedestal,Top side,1106,,37,"17,5",,210,113,"-0,8","1,7",Good,,
4,Eff/Res,Top side,1107,17084,37,"17,5",0,210,113,"-0,8","1,7",Good,,
,,,,,,,,,,,,,,
5,Pedestal,Top side,1108,,45,"17,5",,50,72,"-0,8","1,5",Good,,
5,Bias Scan,Top side,1109,17085,45,"17,5",0,50,72,"-0,8","1,5",Good,,
5,Pedestal,Top side,1110,,45,"17,5",,100,97,"-0,8","1,7",Good,,
5,Bias Scan,Top side,1111,17086,45,"17,5",0,100,97,"-0,8","1,7",Good,,
5,Pedestal,Top side,1112,,45,"17,5",,150,108,"-0,8","1,6",Good,,
5,Bias Scan,Top side,1113,17087,45,"17,5",0,150,108,"-0,8","1,6",Good,,
5,Pedestal,Top side,1114,,45,"17,5",,170,110,"-0,8","1,7",Good,,
5,Bias Scan,Top side,1115,17088,45,"17,5",0,170,110,"-0,8","1,7",Good,,
5,Pedestal,Top side,1116,,45,"17,5",,190,111,"-0,9","1,5",Good,,
5,Bias Scan,Top side,1117,17089,45,"17,5",0,190,111,"-0,9","1,5",Good,,
5,Pedestal,Top side,1118,,45,"17,5",,210,112,"-0,9","1,7",Good,,
5,Bias Scan,Top side,1119,17090,45,"17,5",0,210,112,"-0,9","1,7",Good,,
5,Pedestal,Top side,1120,,45,"17,5",,210,112,"-0,9","1,7",Good,,
5,Eff/Res,Top side,1121,17091,45,"17,5",0,210,112,"-0,9","1,7",Good,,
,,,,,,,,,,,,,,
6,Pedestal,Top side,1122,,52,"17,5",,50,71,"-0,9","1,6",Good,,
6,Bias Scan,Top side,1123,17092,52,"17,5",0,50,71,"-0,9","1,6",Good,,
6,Pedestal,Top side,1124,,52,"17,5",,100,96,"-0,9","1,6",Good,,
6,Bias Scan,Top side,1125,17093,52,"17,5",0,100,96,"-0,9","1,6",Good,,
6,Pedestal,Top side,1126,,52,"17,5",,150,107,"-0,9","1,5",Good,,
6,Bias Scan,Top side,1127,17094,52,"17,5",0,150,107,"-0,9","1,5",Good,,
6,Pedestal,Top side,1128,,52,"17,5",,170,109,"-0,9","1,5",Good,,
6,Bias Scan,Top side,1129,17095,52,"17,5",0,170,109,"-0,9","1,5",Good,,
6,Pedestal,Top side,1130,,52,"17,5",,190,110,"-0,9","1,5",Good,,
6,Bias Scan,Top side,1131,17096,52,"17,5",0,190,110,"-0,9","1,5",Bad,,MAMBA GUI crashed
6,Bias Scan,Top side,1132,17097,52,"17,5",0,190,110,"-0,9","1,5",Bad,,MAMBA GUI crashed
6,Bias Scan,Top side,1134,17098,52,"17,5",0,190,110,"-0,9","1,5",Good,,
6,Pedestal,Top side,1135,,52,"17,5",,210,111,"-0,9","1,5",Good,,
6,Bias Scan,Top side,1136,17099,52,"17,5",0,210,111,"-0,9","1,5",Good,,
6,Pedestal,Top side,1137,,52,"17,5",,210,112,"-0,9","1,5",Good,,
6,Eff/Res,Top side,1138,17100,52,"17,5",0,210,112,"-0,9","1,5",Good,,
,,,,,,,,,,,,,,
7,Pedestal,Top side,1139,,45,80,,50,74,"-0,7","1,6",Good,,
7,Bias Scan,Top side,1140,17102,45,80,0,50,74,"-0,7","1,6",Good,,
7,Pedestal,Top side,1141,,45,80,,100,100,"-0,5","1,4",Good,,
7,Bias Scan,Top side,1142,17103,45,80,0,100,100,"-0,5","1,4",Good,,
7,Pedestal,Top side,1143,,45,80,,150,112,"-0,5","1,5",Good,,
7,Bias Scan,Top side,1144,17104,45,80,0,150,112,"-0,5","1,5",Good,,
7,Pedestal,Top side,1145,,45,80,,170,114,"-0,4","1,4",Good,,
7,Bias Scan,Top side,1146,17105,45,80,0,170,114,"-0,4","1,4",Good,,
7,Pedestal,Top side,1147,,45,80,,190,117,"-0,3","1,3",Good,,
7,Bias Scan,Top side,1148,17106,45,80,0,190,117,"-0,3","1,3",Good,,
7,Pedestal,Top side,1149,,45,80,,210,119,"-0,3","1,5",Good,,
7,Bias Scan,Top side,1150,17107,45,80,0,210,119,"-0,3","1,5",Good,,
7,Pedestal,Top side,1151,,45,80,,210,119,"-0,3","1,4",Good,,
7,Eff/Res,Top side,1152,17108,45,80,0,210,119,"-0,3","1,4",Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Pedestal,Back side,1153,,37,"7,5",,50,80,"0,3","3,3",Good,,
1,Bias Scan,Back side,1154,17109,37,"7,5",0,50,79,"0,2","3,3",Good,,
1,Pedestal,Back side,1155,,37,"7,5",,100,105,"0,2","3,5",Good,,
1,Bias Scan,Back side,1156,17110,37,"7,5",0,100,105,"0,2","3,5",Good,,
1,Pedestal,Back side,1157,,37,"7,5",,150,115,0,"3,1",Good,,
1,Bias Scan,Back side,1158,17111,37,"7,5",0,150,115,0,"3,1",Good,,
1,Pedestal,Back side,1159,,37,"7,5",,170,117,0,"3,1",Good,,
1,Bias Scan,Back side,1160,17112,37,"7,5",0,170,117,0,"3,1",Good,,
1,Pedestal,Back side,1161,,37,"7,5",,190,118,0,"3,1",Good,,
1,Bias Scan,Back side,1162,17113,37,"7,5",0,190,118,0,"3,1",Good,,
1,Pedestal,Back side,1163,,37,"7,5",,210,119,0,"3,1",Good,,
1,Bias Scan,Back side,1164,17114,37,"7,5",0,210,119,0,"3,1",Good,,
1,Pedestal,Back side,1165,,37,"7,5",,210,118,0,"3,1",Good,,
1,Eff/Res,Back side,1166,17115,37,"7,5",0,210,118,0,"3,1",Good,,
,,,,,,,,,,,,,,
2,Pedestal,Back side,1167,,45,"7,5",0,50,76,0,"2,8",Good,,
2,Bias Scan,Back side,1168,17116,45,"7,5",0,50,76,0,"2,8",Good,,
2,Pedestal,Back side,1169,,45,"7,5",0,100,101,0,"3,1",Good,,
2,Bias Scan,Back side,1170,17117,45,"7,5",0,100,101,0,3,Good,,
2,Pedestal,Back side,1171,,45,"7,5",0,150,112,0,3,Good,,
2,Bias Scan,Back side,1172,17118,45,"7,5",0,150,112,0,3,Good,,
2,Pedestal,Back side,1173,,45,"7,5",0,170,114,0,3,Good,,
2,Bias Scan,Back side,1174,17119,45,"7,5",0,170,114,0,3,Good,,
2,Pedestal,Back side,1175,,45,"7,5",0,190,116,0,"3,1",Good,,"Saw center X needed homing homed and reset to 45 no change in signal"
2,Bias Scan,Back side,1176,17120,45,"7,5",0,190,116,0,"3,1",Good,,
2,Pedestal,Back side,1177,,45,"7,5",0,210,117,0,"3,1",Good,,
2,Bias Scan,Back side,1178,17121,45,"7,5",0,210,117,0,"3,1",Bad,,"issue with Kepler plane continuously reading data even between spills"
2,Bias Scan,Back side,1179,17122,45,"7,5",0,210,117,0,"3,1",Good,,
2,Pedestal,Back side,1180,,45,"7,5",0,210,117,0,"3,1",Good,,
2,Eff/Res,Back side,1181,17123,45,"7,5",0,210,117,0,"3,1",Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3,Pedestal,Back side,1182,,52,"7,5",0,50,75,0,"3,2",Good,,
3,Bias Scan,Back side,1183,17124,52,"7,5",0,50,75,0,"3,2",Good,,
3,Pedestal,Back side,1184,,52,"7,5",0,100,100,0,"3,2",Good,,
3,Bias Scan,Back side,1185,17125,52,"7,5",0,100,100,0,"2,9",Good,,
3,Pedestal,Back side,1186,,52,"7,5",0,150,112,0,"2,8",Good,,
3,Bias Scan,Back side,1187,17126,52,"7,5",0,150,112,0,"2,8",Good,,
3,Eff/Res,Back side,1188,17127,52,"7,5",0,210,116,0,"2,8",Bad,,wrong position
3,Eff/Res,Back side,1189,17128,52,"7,2",0,210,117,0,3,Good,,
3,Pedestal,Back side,1190,,,,,,,,,,,
,,,,,,,,,,,,,,
4,Pedestal,Back side,1191,,37,"17,5",0,50,75,0,3,Good,,
4,Bias Scan,Back side,1192,17129,37,"17,5",0,50,75,0,3,Good,,
4,Pedestal,Back side,1193,,37,"17,5",0,100,100,0,"3,2",Good,,
4,Bias Scan,Back side,1194,17130,37,"17,5",0,100,100,0,"3,2",Good,,
4,Pedestal,Back side,1195,,37,"17,5",0,150,111,0,"3,1",Good,,
4,Bias Scan,Back side,1196,17131,37,"17,5",0,150,111,0,"3,1",Good,,
4,Pedestal,Back side,1197,,37,"17,5",0,210,116,0,3,Good,,
4,Eff/Res,Back side,1198,17132,37,"17,5",0,210,116,0,3,Good,,
,,,,,,,,,,,,,,
5,Pedestal,Back side,1199,,45,"17,5",0,50,75,0,3,Good,,
5,Bias Scan,Back side,1200,17133,45,"17,5",0,50,75,0,3,Good,,
5,Pedestal,Back side,1201,,45,"17,5",0,100,100,0,"3,2",Good,,
5,Bias Scan,Back side,1202,17134,45,"17,5",0,100,100,0,"3,2",Good,,
5,Pedestal,Back side,1203,,45,"17,5",0,150,112,0,3,Good,,
5,Bias Scan,Back side,1204,17135,45,"17,5",0,150,112,0,3,Good,,
5,Pedestal,Back side,1205,,45,"17,5",0,210,116,0,3,Good,,
5,Eff/Res,Back side,1206,17136,45,"17,5",0,210,116,0,3,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
7,Pedestal,Back side,1207,,45,80,0,50,75,0,3,Good,,
7,Bias Scan,Back side,1208,17137,45,80,0,50,75,0,3,Good,,
7,Pedestal,Back side,1209,,45,80,0,100,101,0,"3,1",Good,,
7,Bias Scan,Back side,1210,17138,45,80,0,100,101,0,"3,1",Good,,
7,Pedestal,Back side,1211,,45,80,0,150,113,0,"3,5",Good,,
7,Bias Scan,Back side,1212,17139,45,80,0,150,113,0,"3,5",Good,,
7,Pedestal,Back side,1213,,45,80,0,210,118,0,"3,1",Good,,
7,Eff/Res,Back side,1214,17140,45,80,0,210,118,0,"3,1",Good,,
